Jenis Sampah,Metode Pengolahan,Kategori,Deskripsi
Jenis Sampah,Metode Pengolahan,Kategori,Deskripsi 
"Plastik,Daur ulang menjadi pelet plastik,Anorganik Daur Ulang,""Plastik seperti botol PET dapat dicuci, dicacah, lalu dilelehkan untuk dijadikan pelet plastik sebagai bahan baku industri.""",,, 
Plastik,Ecobrick,Anorganik Kreatif,Plastik non-daun ulang seperti pembungkus makanan dimasukkan ke dalam botol plastik padat untuk dijadikan bahan bangunan alternatif. 
Plastik,Pirolisis,Anorganik Energi,Plastik yang tidak bisa didaur ulang dapat dikonversi menjadi bahan bakar cair melalui proses pirolisis tanpa oksigen. 
Plastik,Upcycling menjadi tas atau dompet,Anorganik Kreatif,Kantong kresek dan bungkus kopi bekas dapat dijahit ulang menjadi produk fashion seperti tas belanja. 
Plastik,Penggunaan ulang langsung,Anorganik,Wadah plastik seperti ember dan galon bekas dapat digunakan kembali untuk keperluan rumah tangga. 
Plastik,Pengumpulan terpilah dan dijual ke bank sampah,Anorganik Daur Ulang,Sampah plastik yang dipilah memiliki nilai ekonomi jika dijual ke bank sampah untuk proses daur ulang lebih lanjut. 
Plastik,Teknologi RDF (Refused-Derived Fuel),Anorganik Energi,Sampah plastik dapat dicampur dengan sampah kertas untuk dijadikan bahan bakar alternatif pada industri semen. 
Plastik,Kompresi menjadi papan plastik,Anorganik,Sampah plastik dikompresi dan dicetak menjadi papan untuk furnitur atau partisi dinding alternatif. 
"Plastik,Program insentif botol plastik,Anorganik,""Beberapa toko memberikan insentif untuk konsumen yang mengembalikan botol plastik, yang kemudian didaur ulang.""",,, 
Plastik,Biodegradasi menggunakan bakteri pengurai plastik,Anorganik Eksperimental,Penelitian menunjukkan bahwa jenis tertentu bakteri dapat mengurai plastik tertentu dalam kondisi laboratorium terkendali. 
Alas Kaki,Daur ulang sol menjadi bahan playground,Anorganik,Sepatu bekas dihancurkan dan sol karetnya digunakan sebagai permukaan lapangan bermain atau jogging track. 
Alas Kaki,Upcycling menjadi pot tanaman,Anorganik Kreatif,Sepatu lama digunakan sebagai pot tanaman unik untuk taman vertikal atau dekorasi taman rumah. 
Alas Kaki,Donasi untuk daur ulang,Anorganik,Beberapa organisasi menerima sepatu bekas untuk dipilah dan didaur ulang menjadi produk baru atau didonasikan. 
Alas Kaki,Produksi energi dari sol karet,Anorganik Energi,Sol sepatu karet dihancurkan dan digunakan dalam pembakaran untuk menghasilkan energi pada insinerator tertentu. 
Alas Kaki,Komposisi ulang jadi bahan lantai karet,Anorganik,Sol sepatu bekas dapat digunakan kembali sebagai material lantai karet di tempat gym atau ruang olahraga. 
Alas Kaki,Pemisahan bahan tekstil dan karet,Anorganik,Sepatu dibongkar untuk memisahkan bahan karet dan kain sebelum didaur ulang sesuai jenisnya. 
Alas Kaki,Edukasi daur ulang kreatif,Anorganik Kreatif,Proyek sekolah memanfaatkan sepatu bekas sebagai media edukasi untuk kreasi seni dan ekologi. 
Alas Kaki,Penampungan daur ulang komunitas,Anorganik,Komunitas warga mengumpulkan sepatu bekas untuk program daur ulang massal. 
Alas Kaki,Penghancuran industri,Anorganik,Pabrik pengolahan limbah menghancurkan alas kaki menjadi serpihan untuk diproses lebih lanjut. 
Alas Kaki,Pameran seni instalasi,Anorganik Kreatif,Seniman memanfaatkan sepatu bekas sebagai bahan instalasi seni yang membawa pesan lingkungan. 
Sterofoam,Pengganti batu bata ringan,Anorganik Kreatif,Sterofoam dihancurkan dan dicampur semen untuk membuat bata ringan yang tahan panas. 
Sterofoam,Kompresi menjadi bahan bangunan,Anorganik,Teknologi modern memungkinkan sterofoam dikompresi menjadi papan padat untuk insulasi. 
Sterofoam,Pirolisis menjadi minyak sintetis,Anorganik Energi,Sterofoam dapat dikonversi menjadi minyak sintetis melalui proses pemanasan tanpa oksigen. 
Sterofoam,Pelarutan dengan bahan kimia pelarut,Anorganik,Sterofoam dapat dilarutkan menggunakan pelarut tertentu dan digunakan sebagai bahan perekat. 
Sterofoam,Penggunaan ulang sebagai pelindung kemasan,Anorganik,Potongan sterofoam bekas masih bisa digunakan kembali sebagai pelindung barang elektronik saat pengiriman. 
Sterofoam,Pengumpulan massal oleh komunitas lingkungan,Anorganik,Beberapa komunitas memiliki program pengumpulan sterofoam untuk pengolahan massal. 
Sterofoam,Campuran beton ringan,Anorganik,Serpihan sterofoam bisa dicampur dalam adonan beton sebagai pengganti agregat ringan. 
Sterofoam,Edukasi larangan penggunaan,Anorganik,Beberapa sekolah mengampanyekan pengurangan sterofoam melalui poster edukatif dan kampanye siswa. 
Sterofoam,Pembuatan mainan edukatif,Anorganik Kreatif,Sterofoam dipotong dan dihias untuk dijadikan mainan atau alat peraga edukatif. 
Sterofoam,Pembuatan dekorasi panggung,Anorganik Kreatif,Sterofoam sering digunakan sebagai bahan dasar dekorasi untuk panggung atau acara karena ringan dan mudah dibentuk. 
Kaca,Hancur sebagai agregat konstruksi,Anorganik,Kaca dihancurkan menjadi agregat halus untuk campuran aspal atau beton ringan. 
Kaca,Pembuatan mozaik seni,Anorganik Kreatif,Kepingan kaca berwarna digunakan untuk membuat karya seni mozaik pada dinding atau lantai. 
Kaca,Penampungan oleh industri daur ulang,Anorganik,Industri pengolahan kaca menerima botol kaca sebagai bahan baku sekunder. 
Kaca,Pembuatan paving block,Anorganik,Kaca yang dihancurkan dan dicampur semen dapat dijadikan paving block ramah lingkungan. 
Kaca,Hiasan rumah tangga,Anorganik Kreatif,Botol dan toples kaca dihias dan digunakan sebagai lampu hias atau vas bunga. 
Kaca,Laboratorium daur ulang kampus,Anorganik,Banyak universitas melakukan eksperimen pengolahan kaca untuk keperluan penelitian. 
Kaca,Kampanye pengurangan kaca sekali pakai,Anorganik,Kampanye lingkungan mengajak masyarakat mengganti produk kaca sekali pakai dengan alternatif tahan lama. 
Kaca,Daur ulang sebagai bahan keramik,Anorganik,Kaca bisa digabung dengan tanah liat untuk membuat keramik dengan tampilan unik. 
Kayu,Dijadikan kompos,Organik,Serpihan kayu hasil penghancuran dapat dijadikan bahan kompos setelah melalui proses fermentasi. 
Kayu,Pembakaran terkendali untuk energi panas,Organik Energi,Kayu sisa konstruksi dapat dibakar di tungku tertutup untuk menghasilkan energi panas dalam rumah tangga atau industri. 
Kayu,Pembuatan wood pellet,Organik Energi,Potongan kayu dihancurkan dan dipadatkan menjadi wood pellet sebagai bahan bakar biomassa yang ramah lingkungan. 
Kayu,Penghancuran menjadi mulsa taman,Organik,Serpihan kayu dijadikan mulsa yang berfungsi untuk menjaga kelembaban tanah dan menekan pertumbuhan gulma. 
Kayu,Material pendukung pertanian,Organik,Kayu bekas bisa dimanfaatkan sebagai ajir tanaman atau bingkai tempat tanam vertikal di kebun. 
Kayu,Edukasi konstruksi ramah lingkungan,Organik,Sekolah menggunakan limbah kayu untuk mengajarkan konstruksi sederhana dan daur ulang material. 
Kayu,Bahan dasar biochar,Organik Energi,Limbah kayu dikarbonisasi pada suhu tinggi dan rendah oksigen untuk menghasilkan biochar yang menyuburkan tanah. 
Kayu,Penggunaan kembali untuk keperluan bangunan sementara,Organik,Kayu bekas sering digunakan kembali dalam proyek bangunan sementara seperti pagar proyek atau sekat kerja. 
Sampah Elektronik,Daur ulang logam mulia,Anorganik Daur Ulang,Perangkat elektronik mengandung logam seperti emas dan tembaga yang dapat diekstraksi dan didaur ulang. 
Sampah Elektronik,Donasi perangkat bekas yang masih berfungsi,Anorganik,Gadget lama yang masih bisa digunakan dapat didonasikan ke lembaga pendidikan atau komunitas. 
Sampah Elektronik,Refurbish atau peremajaan,Anorganik,Laptop dan HP bekas bisa direkondisi (refurbish) untuk digunakan kembali oleh pengguna lain. 
Sampah Elektronik,E-waste drop box,Anorganik,Beberapa kota menyediakan kotak drop box khusus untuk menampung sampah elektronik secara aman. 
Sampah Elektronik,Pembuangan melalui lembaga resmi,Anorganik,Sampah elektronik harus dikirim ke fasilitas pengelolaan limbah B3 agar tidak mencemari lingkungan. 
Sampah Elektronik,Upcycling menjadi produk seni,Anorganik Kreatif,Komponen elektronik bekas seperti motherboard digunakan untuk membuat lukisan atau hiasan dinding. 
Sampah Elektronik,Ekstraksi baterai lithium,Anorganik,Baterai dari ponsel dan laptop dapat diproses untuk diambil kembali lithium-nya. 
Sampah Elektronik,Edukasi bahaya limbah elektronik,Anorganik,Kampanye dilakukan untuk mengedukasi masyarakat tentang bahaya bahan beracun dalam limbah elektronik. 
Sampah Elektronik,Insinerasi terkendali untuk limbah tidak dapat didaur ulang,Anorganik,Limbah elektronik tertentu dibakar pada suhu tinggi dengan kontrol emisi untuk menghindari racun lepas ke udara. 
Pakaian,Donasi ke panti asuhan atau yayasan,Organik,Pakaian layak pakai dapat didonasikan ke mereka yang membutuhkan melalui berbagai lembaga sosial. 
Pakaian,Pembuatan serat daur ulang,Organik Daur Ulang,Pakaian berbahan poliester atau katun dapat diurai menjadi serat tekstil baru untuk membuat kain. 
Pakaian,Workshop kreatif untuk komunitas,Organik Kreatif,Komunitas mengadakan lokakarya untuk mengajarkan cara menyulap pakaian bekas menjadi produk bernilai jual. 
Pakaian,Penjualan thrift,Organik,Pakaian bekas yang masih bagus dijual kembali secara daring atau di toko pakaian bekas (thrift shop). 
Pakaian,Kompos pakaian berbahan alami,Organik,Bahan alami seperti wol dan katun dapat dikomposkan dalam waktu lama sebagai bagian dari pengelolaan limbah organik. 
Pakaian,Pameran seni tekstil,Organik Kreatif,Seniman menggunakan limbah tekstil untuk menciptakan instalasi seni bertema keberlanjutan. 
Pakaian,Penyerapan minyak,Organik,Kain bekas bisa digunakan dalam situasi darurat untuk menyerap tumpahan minyak atau bahan kimia. 
Pakaian,Pembuatan boneka atau bantal,Organik Kreatif,Potongan pakaian bekas bisa dijahit menjadi boneka edukatif atau bantal kecil daur ulang. 
Daun,Pembuatan kompos,Organik,Daun kering dikumpulkan dan difermentasi menjadi pupuk kompos alami. 
Daun,Penutup tanah (mulsa),Organik,Daun digunakan sebagai mulsa untuk menjaga kelembaban tanah dan mengurangi pertumbuhan gulma. 
Daun,Pakan ternak,Organik,Beberapa jenis daun hijau seperti daun jagung dapat dijadikan pakan untuk hewan ternak. 
Daun,Pembuatan eco-print,Organik Kreatif,Daun digunakan dalam teknik pencetakan alami pada kain atau kertas. 
Daun,Bahan pembungkus alami,Organik,Daun pisang dan daun jati bisa digunakan sebagai pembungkus makanan ramah lingkungan. 
Daun,Pengolahan biogas,Organik Energi,Daun yang membusuk dapat menjadi bahan baku biogas dalam sistem biodigester. 
Daun,Edukasi daur ulang organik,Organik,Sekolah sering menggunakan daun untuk praktik pembuatan kompos dalam edukasi lingkungan. 
Kardus,Daur ulang menjadi kertas daur ulang,Anorganik Daur Ulang,Kardus bekas dihancurkan dan dicetak ulang menjadi karton atau kertas baru. 
Kardus,Penggunaan ulang sebagai kemasan,Anorganik,Kardus bekas dapat digunakan kembali untuk mengemas barang atau penyimpanan. 
Kardus,Bahan edukasi anak,Anorganik Kreatif,Kardus digunakan dalam kegiatan belajar anak sebagai media eksplorasi bentuk dan kreativitas. 
Kardus,Bahan dasar insulasi sementara,Anorganik,Kardus dilapisi aluminium foil digunakan untuk isolasi termal sederhana. 
Kardus,Pengolahan oleh bank sampah,Anorganik,Kardus bekas dikumpulkan dan dijual ke pengepul daur ulang melalui bank sampah. 
Kardus,Penyumbang bahan bakar RDF,Anorganik Energi,Kardus yang tidak bisa didaur ulang dimanfaatkan sebagai bahan bakar alternatif (Refuse Derived Fuel). 
Kardus,Pembuatan pulp untuk seni kertas,Anorganik Kreatif,Kardus dihancurkan jadi pulp untuk membuat karya seni atau kerajinan kertas daur ulang. 
Kertas,Penggunaan ulang sisi kosong,Anorganik,Kertas satu sisi dapat digunakan kembali untuk mencetak atau mencatat. 
Kertas,Origami dan seni lipat kertas,Anorganik Kreatif,Kertas bekas digunakan untuk membuat origami atau hiasan kertas. 
Kertas,Pembuatan briket kertas,Anorganik Energi,Kertas direndam dan dipadatkan menjadi briket sebagai bahan bakar alternatif. 
Kertas,Bahan isolasi sederhana,Anorganik,Kertas berlapis digunakan untuk menahan panas dalam kemasan makanan atau dinding sederhana. 
Kertas,Kompos kertas tanpa tinta berbahaya,Organik,Kertas coklat atau tidak berwarna dapat dikomposkan sebagai tambahan bahan karbon. 
Logam,Penjualan ke pengepul,Anorganik,Kaleng atau logam bekas dijual ke pengepul untuk didaur ulang. 
Logam,Pembuatan karya seni dari logam,Anorganik Kreatif,Logam bekas dibentuk menjadi patung atau ornamen artistik. 
Logam,Penggunaan kembali logam konstruksi,Anorganik,Besi bekas konstruksi digunakan kembali untuk proyek pembangunan sederhana. 
Logam,Pengolahan scrap industri,Anorganik,Sisa logam dari industri dijual sebagai scrap untuk industri pengecoran. 
Logam,Insinerasi residu logam non-daur ulang,Anorganik,Limbah logam tak bisa didaur ulang dibakar di insinerator khusus logam. 
Logam,Edukasi pengolahan logam daur ulang,Anorganik,Lembaga pendidikan mengajarkan proses daur ulang logam dan manfaatnya. 
Sampah Makanan,Pembuatan kompos dapur,Organik,Sisa makanan sayur dan buah dijadikan kompos menggunakan ember komposter. 
Sampah Makanan,Pemberian sisa makanan ke ternak,Organik,Sisa makanan layak dapat diberikan ke hewan seperti ayam dan bebek. 
Sampah Makanan,Pengurangan dengan belanja bijak,Organik,Edukasi mengajarkan cara belanja sesuai kebutuhan agar tidak menyisakan makanan. 
Sampah Makanan,Pembuatan eco enzyme,Organik Kreatif,Sisa buah difermentasi menjadi cairan pembersih serbaguna alami. 
Sampah Makanan,Biokonversi dengan maggot,Organik Energi,Sisa organik dijadikan pakan larva maggot untuk produksi pakan ternak berprotein. 
Sampah Makanan,Distribusi makanan berlebih,Organik,Lembaga sosial menyalurkan makanan berlebih dari restoran ke yang membutuhkan. 
Sampah Makanan,Pengolahan biogas rumah tangga,Organik Energi,Sisa makanan difermentasi untuk menghasilkan gas metana di biodigester skala kecil. 
Sampah Makanan,Kampanye zero waste food,Organik,Edukasi masyarakat untuk memanfaatkan seluruh bagian bahan makanan agar tidak ada limbah. 
