Jenis Sampah,Metode Pengolahan,Deskripsi
Plastik,Ecobrick,Plastik non-daun ulang seperti pembungkus makanan dimasukkan ke dalam botol plastik padat untuk dijadikan bahan bangunan alternatif. 
Plastik,Pirolisis,Plastik yang tidak bisa didaur ulang dapat dikonversi menjadi bahan bakar cair melalui proses pirolisis tanpa oksigen. 
Plastik,Upcycling menjadi tas atau dompet,Kantong kresek dan bungkus kopi bekas dapat dijahit ulang menjadi produk fashion seperti tas belanja. 
Plastik,Penggunaan ulang langsung,Wadah plastik seperti ember dan galon bekas dapat digunakan kembali untuk keperluan rumah tangga. 
Plastik,Pengumpulan terpilah dan dijual ke bank sampah,Sampah plastik yang dipilah memiliki nilai ekonomi jika dijual ke bank sampah untuk proses daur ulang lebih lanjut. 
Plastik,Teknologi RDF (Refused-Derived Fuel),Sampah plastik dapat dicampur dengan sampah kertas untuk dijadikan bahan bakar alternatif pada industri semen. 
Plastik,Kompresi menjadi papan plastik,Sampah plastik dikompresi dan dicetak menjadi papan untuk furnitur atau partisi dinding alternatif. 
Plastik,Biodegradasi menggunakan bakteri pengurai plastik,Penelitian menunjukkan bahwa jenis tertentu bakteri dapat mengurai plastik tertentu dalam kondisi laboratorium terkendali. 
Alas Kaki,Daur ulang sol menjadi bahan playground,Sepatu bekas dihancurkan dan sol karetnya digunakan sebagai permukaan lapangan bermain atau jogging track. 
Alas Kaki,Upcycling menjadi pot tanaman,Sepatu lama digunakan sebagai pot tanaman unik untuk taman vertikal atau dekorasi taman rumah. 
Alas Kaki,Donasi untuk daur ulang,Beberapa organisasi menerima sepatu bekas untuk dipilah dan didaur ulang menjadi produk baru atau didonasikan. 
Alas Kaki,Produksi energi dari sol karet,Sol sepatu karet dihancurkan dan digunakan dalam pembakaran untuk menghasilkan energi pada insinerator tertentu. 
Alas Kaki,Komposisi ulang jadi bahan lantai karet,Sol sepatu bekas dapat digunakan kembali sebagai material lantai karet di tempat gym atau ruang olahraga. 
Alas Kaki,Pemisahan bahan tekstil dan karet,Sepatu dibongkar untuk memisahkan bahan karet dan kain sebelum didaur ulang sesuai jenisnya. 
Alas Kaki,Edukasi daur ulang kreatif,Proyek sekolah memanfaatkan sepatu bekas sebagai media edukasi untuk kreasi seni dan ekologi. 
Alas Kaki,Penampungan daur ulang komunitas,Komunitas warga mengumpulkan sepatu bekas untuk program daur ulang massal. 
Alas Kaki,Penghancuran industri,Pabrik pengolahan limbah menghancurkan alas kaki menjadi serpihan untuk diproses lebih lanjut. 
Alas Kaki,Pameran seni instalasi,Seniman memanfaatkan sepatu bekas sebagai bahan instalasi seni yang membawa pesan lingkungan. 
Sterofoam,Pengganti batu bata ringan,Sterofoam dihancurkan dan dicampur semen untuk membuat bata ringan yang tahan panas. 
Sterofoam,Kompresi menjadi bahan bangunan,Teknologi modern memungkinkan sterofoam dikompresi menjadi papan padat untuk insulasi. 
Sterofoam,Pirolisis menjadi minyak sintetis,Sterofoam dapat dikonversi menjadi minyak sintetis melalui proses pemanasan tanpa oksigen. 
Sterofoam,Pelarutan dengan bahan kimia pelarut,Sterofoam dapat dilarutkan menggunakan pelarut tertentu dan digunakan sebagai bahan perekat. 
Sterofoam,Penggunaan ulang sebagai pelindung kemasan,Potongan sterofoam bekas masih bisa digunakan kembali sebagai pelindung barang elektronik saat pengiriman. 
Sterofoam,Pengumpulan massal oleh komunitas lingkungan,Beberapa komunitas memiliki program pengumpulan sterofoam untuk pengolahan massal. 
Sterofoam,Campuran beton ringan,Serpihan sterofoam bisa dicampur dalam adonan beton sebagai pengganti agregat ringan. 
Sterofoam,Edukasi larangan penggunaan,Beberapa sekolah mengampanyekan pengurangan sterofoam melalui poster edukatif dan kampanye siswa. 
Sterofoam,Pembuatan mainan edukatif,Sterofoam dipotong dan dihias untuk dijadikan mainan atau alat peraga edukatif. 
Sterofoam,Pembuatan dekorasi panggung,Sterofoam sering digunakan sebagai bahan dasar dekorasi untuk panggung atau acara karena ringan dan mudah dibentuk. 
Kaca,Hancur sebagai agregat konstruksi,Kaca dihancurkan menjadi agregat halus untuk campuran aspal atau beton ringan. 
Kaca,Pembuatan mozaik seni,Kepingan kaca berwarna digunakan untuk membuat karya seni mozaik pada dinding atau lantai. 
Kaca,Penampungan oleh industri daur ulang,Industri pengolahan kaca menerima botol kaca sebagai bahan baku sekunder. 
Kaca,Pembuatan paving block,Kaca yang dihancurkan dan dicampur semen dapat dijadikan paving block ramah lingkungan. 
Kaca,Hiasan rumah tangga,Botol dan toples kaca dihias dan digunakan sebagai lampu hias atau vas bunga. 
Kaca,Laboratorium daur ulang kampus,Banyak universitas melakukan eksperimen pengolahan kaca untuk keperluan penelitian. 
Kaca,Kampanye pengurangan kaca sekali pakai,Kampanye lingkungan mengajak masyarakat mengganti produk kaca sekali pakai dengan alternatif tahan lama. 
Kaca,Daur ulang sebagai bahan keramik,Kaca bisa digabung dengan tanah liat untuk membuat keramik dengan tampilan unik. 
Kayu,Dijadikan kompos,Serpihan kayu hasil penghancuran dapat dijadikan bahan kompos setelah melalui proses fermentasi. 
Kayu,Pembakaran terkendali untuk energi panas,Kayu sisa konstruksi dapat dibakar di tungku tertutup untuk menghasilkan energi panas dalam rumah tangga atau industri. 
Kayu,Pembuatan wood pellet,Potongan kayu dihancurkan dan dipadatkan menjadi wood pellet sebagai bahan bakar biomassa yang ramah lingkungan. 
Kayu,Penghancuran menjadi mulsa taman,Serpihan kayu dijadikan mulsa yang berfungsi untuk menjaga kelembaban tanah dan menekan pertumbuhan gulma. 
Kayu,Material pendukung pertanian,Kayu bekas bisa dimanfaatkan sebagai ajir tanaman atau bingkai tempat tanam vertikal di kebun. 
Kayu,Edukasi konstruksi ramah lingkungan,Sekolah menggunakan limbah kayu untuk mengajarkan konstruksi sederhana dan daur ulang material. 
Kayu,Bahan dasar biochar,Limbah kayu dikarbonisasi pada suhu tinggi dan rendah oksigen untuk menghasilkan biochar yang menyuburkan tanah. 
Kayu,Penggunaan kembali untuk keperluan bangunan sementara,Kayu bekas sering digunakan kembali dalam proyek bangunan sementara seperti pagar proyek atau sekat kerja. 
Sampah Elektronik,Daur ulang logam mulia,Perangkat elektronik mengandung logam seperti emas dan tembaga yang dapat diekstraksi dan didaur ulang. 
Sampah Elektronik,Donasi perangkat bekas yang masih berfungsi,Gadget lama yang masih bisa digunakan dapat didonasikan ke lembaga pendidikan atau komunitas. 
Sampah Elektronik,Refurbish atau peremajaan,Laptop dan HP bekas bisa direkondisi (refurbish) untuk digunakan kembali oleh pengguna lain. 
Sampah Elektronik,E-waste drop box,Beberapa kota menyediakan kotak drop box khusus untuk menampung sampah elektronik secara aman. 
Sampah Elektronik,Pembuangan melalui lembaga resmi,Sampah elektronik harus dikirim ke fasilitas pengelolaan limbah B3 agar tidak mencemari lingkungan. 
Sampah Elektronik,Upcycling menjadi produk seni,Komponen elektronik bekas seperti motherboard digunakan untuk membuat lukisan atau hiasan dinding. 
Sampah Elektronik,Ekstraksi baterai lithium,Baterai dari ponsel dan laptop dapat diproses untuk diambil kembali lithium-nya. 
Sampah Elektronik,Edukasi bahaya limbah elektronik,Kampanye dilakukan untuk mengedukasi masyarakat tentang bahaya bahan beracun dalam limbah elektronik. 
Sampah Elektronik,Insinerasi terkendali untuk limbah tidak dapat didaur ulang,Limbah elektronik tertentu dibakar pada suhu tinggi dengan kontrol emisi untuk menghindari racun lepas ke udara. 
Pakaian,Donasi ke panti asuhan atau yayasan,Pakaian layak pakai dapat didonasikan ke mereka yang membutuhkan melalui berbagai lembaga sosial. 
Pakaian,Pembuatan serat daur ulang,Pakaian berbahan poliester atau katun dapat diurai menjadi serat tekstil baru untuk membuat kain. 
Pakaian,Workshop kreatif untuk komunitas,Komunitas mengadakan lokakarya untuk mengajarkan cara menyulap pakaian bekas menjadi produk bernilai jual. 
Pakaian,Penjualan thrift,Pakaian bekas yang masih bagus dijual kembali secara daring atau di toko pakaian bekas (thrift shop). 
Pakaian,Kompos pakaian berbahan alami,Bahan alami seperti wol dan katun dapat dikomposkan dalam waktu lama sebagai bagian dari pengelolaan limbah organik. 
Pakaian,Pameran seni tekstil,Seniman menggunakan limbah tekstil untuk menciptakan instalasi seni bertema keberlanjutan. 
Pakaian,Penyerapan minyak,Kain bekas bisa digunakan dalam situasi darurat untuk menyerap tumpahan minyak atau bahan kimia. 
Pakaian,Pembuatan boneka atau bantal,Potongan pakaian bekas bisa dijahit menjadi boneka edukatif atau bantal kecil daur ulang. 
Daun,Pembuatan kompos,Daun kering dikumpulkan dan difermentasi menjadi pupuk kompos alami. 
Daun,Penutup tanah (mulsa),Daun digunakan sebagai mulsa untuk menjaga kelembaban tanah dan mengurangi pertumbuhan gulma. 
Daun,Pakan ternak,Beberapa jenis daun hijau seperti daun jagung dapat dijadikan pakan untuk hewan ternak. 
Daun,Pembuatan eco-print,Daun digunakan dalam teknik pencetakan alami pada kain atau kertas. 
Daun,Bahan pembungkus alami,Daun pisang dan daun jati bisa digunakan sebagai pembungkus makanan ramah lingkungan. 
Daun,Pengolahan biogas,Daun yang membusuk dapat menjadi bahan baku biogas dalam sistem biodigester. 
Daun,Edukasi daur ulang organik,Sekolah sering menggunakan daun untuk praktik pembuatan kompos dalam edukasi lingkungan. 
Kardus,Daur ulang menjadi kertas daur ulang,Kardus bekas dihancurkan dan dicetak ulang menjadi karton atau kertas baru. 
Kardus,Penggunaan ulang sebagai kemasan,Kardus bekas dapat digunakan kembali untuk mengemas barang atau penyimpanan. 
Kardus,Bahan edukasi anak,Kardus digunakan dalam kegiatan belajar anak sebagai media eksplorasi bentuk dan kreativitas. 
Kardus,Bahan dasar insulasi sementara,Kardus dilapisi aluminium foil digunakan untuk isolasi termal sederhana. 
Kardus,Pengolahan oleh bank sampah,Kardus bekas dikumpulkan dan dijual ke pengepul daur ulang melalui bank sampah. 
Kardus,Penyumbang bahan bakar RDF,Kardus yang tidak bisa didaur ulang dimanfaatkan sebagai bahan bakar alternatif (Refuse Derived Fuel). 
Kardus,Pembuatan pulp untuk seni kertas,Kardus dihancurkan jadi pulp untuk membuat karya seni atau kerajinan kertas daur ulang. 
Kertas,Penggunaan ulang sisi kosong,Kertas satu sisi dapat digunakan kembali untuk mencetak atau mencatat. 
Kertas,Origami dan seni lipat kertas,Kertas bekas digunakan untuk membuat origami atau hiasan kertas. 
Kertas,Pembuatan briket kertas,Kertas direndam dan dipadatkan menjadi briket sebagai bahan bakar alternatif. 
Kertas,Bahan isolasi sederhana,Kertas berlapis digunakan untuk menahan panas dalam kemasan makanan atau dinding sederhana. 
Kertas,Kompos kertas tanpa tinta berbahaya,Kertas coklat atau tidak berwarna dapat dikomposkan sebagai tambahan bahan karbon. 
Logam,Penjualan ke pengepul,Kaleng atau logam bekas dijual ke pengepul untuk didaur ulang. 
Logam,Pembuatan karya seni dari logam,Logam bekas dibentuk menjadi patung atau ornamen artistik. 
Logam,Penggunaan kembali logam konstruksi,Besi bekas konstruksi digunakan kembali untuk proyek pembangunan sederhana. 
Logam,Pengolahan scrap industri,Sisa logam dari industri dijual sebagai scrap untuk industri pengecoran. 
Logam,Insinerasi residu logam non-daur ulang,Limbah logam tak bisa didaur ulang dibakar di insinerator khusus logam. 
Logam,Edukasi pengolahan logam daur ulang,Lembaga pendidikan mengajarkan proses daur ulang logam dan manfaatnya. 
Sampah Makanan,Pembuatan kompos dapur,Sisa makanan sayur dan buah dijadikan kompos menggunakan ember komposter. 
Sampah Makanan,Pemberian sisa makanan ke ternak,Sisa makanan layak dapat diberikan ke hewan seperti ayam dan bebek. 
Sampah Makanan,Pengurangan dengan belanja bijak,Edukasi mengajarkan cara belanja sesuai kebutuhan agar tidak menyisakan makanan. 
Sampah Makanan,Pembuatan eco enzyme,Sisa buah difermentasi menjadi cairan pembersih serbaguna alami. 
Sampah Makanan,Biokonversi dengan maggot,Sisa organik dijadikan pakan larva maggot untuk produksi pakan ternak berprotein. 
Sampah Makanan,Distribusi makanan berlebih,Lembaga sosial menyalurkan makanan berlebih dari restoran ke yang membutuhkan. 
Sampah Makanan,Pengolahan biogas rumah tangga,Sisa makanan difermentasi untuk menghasilkan gas metana di biodigester skala kecil. 
Sampah Makanan,Kampanye zero waste food,Edukasi masyarakat untuk memanfaatkan seluruh bagian bahan makanan agar tidak ada limbah. 
Alas Kaki,Donasi,"Jika alas kaki masih dalam kondisi layak pakai, pertimbangkan untuk menyumbangkannya ke organisasi amal, panti asuhan, atau komunitas yang membutuhkan. Ini memberikan manfaat langsung kepada masyarakat yang kekurangan."
Alas Kaki,Daur Ulang Karet,"Alas kaki berbahan dasar karet dapat dikirim ke fasilitas daur ulang yang mengolah karet menjadi bahan baku untuk alas olahraga, ubin karet, atau pelapis jalan."
Alas Kaki,Kerajinan Ulang,"Alas kaki bekas, terutama berbahan unik atau warna mencolok, dapat dijadikan bahan kerajinan seperti pot tanaman gantung, dekorasi taman, atau karya seni."
Alas Kaki,Reparasi dan Gunakan Kembali,"Jika kerusakan tidak terlalu parah, alas kaki bisa diperbaiki dan digunakan kembali, misalnya dengan menjahit bagian sobek atau mengganti sol."
Alas Kaki,Penggilingan Industri,"Dalam skala besar, alas kaki dapat digiling untuk diambil materialnya dan digunakan kembali dalam proses manufaktur alas kaki baru atau produk serupa."
Alas Kaki,Energi dari Limbah,Sebagian bahan sintetis dari alas kaki dapat dijadikan bahan bakar alternatif melalui proses insinerasi di fasilitas WtE (Waste to Energy).
Daun,Komposting,"Daun kering dan basah merupakan bahan organik yang sangat cocok untuk kompos rumah tangga atau kompos skala industri, memperkaya tanah dengan unsur hara alami."
Daun,Pembuatan Mulsa,"Daun kering dapat dijadikan mulsa, yaitu lapisan penutup tanah yang membantu mempertahankan kelembaban, mengurangi erosi, dan menghambat pertumbuhan gulma."
Daun,Bioenergi,"Daun yang dikumpulkan dalam jumlah besar dapat digunakan dalam biodigester untuk menghasilkan biogas, sebagai sumber energi terbarukan."
Daun,Pakan Ternak,Beberapa jenis daun (misalnya daun pisang atau singkong) dapat dimanfaatkan sebagai pakan alternatif untuk hewan ternak.
Daun,Bahan Baku Kertas Daur Ulang,"Dalam penelitian tertentu, daun telah dimanfaatkan sebagai bahan dasar untuk pembuatan kertas daur ulang atau kemasan ramah lingkungan."
Kaca,Daur Ulang Kaca,"Kaca yang bersih dapat dilebur kembali menjadi produk kaca baru seperti botol, jendela, atau peralatan dapur. Ini menghemat energi dibanding membuat kaca dari bahan mentah."
Kaca,Pembuatan Kerajinan Mozaik,"Pecahan kaca dapat dimanfaatkan sebagai bahan untuk kerajinan seni mozaik, dekorasi taman, atau furnitur beraksen kaca."
Kaca,Penggunaan Ulang,"Botol dan wadah kaca yang masih utuh bisa digunakan kembali untuk menyimpan makanan, bumbu dapur, atau air minum."
Kaca,Bahan Campuran Konstruksi,Serpihan kaca dapat digunakan sebagai agregat dalam beton untuk meningkatkan kekuatan serta tampilan estetis permukaan bangunan.
Kaca,Ekspor Bahan Baku,"Di beberapa negara, kaca bekas dikumpulkan dan diekspor sebagai bahan baku untuk pabrik kaca luar negeri."
Kain Pakaian,Donasi Sosial,"Pakaian layak pakai bisa disumbangkan ke lembaga kemanusiaan, panti asuhan, atau komunitas pengungsi, memberikan manfaat langsung pada yang membutuhkan."
Kain Pakaian,Daur Ulang Tekstil,"Pakaian rusak dapat dihancurkan menjadi serat baru untuk dijadikan bahan isolasi, karpet, atau pelapis kendaraan."
Kain Pakaian,Pembuatan Tas dan Aksesori,"Potongan kain bisa diolah menjadi barang baru seperti tas belanja ramah lingkungan, boneka, atau selimut tambal sulam."
Kain Pakaian,Pembersih Industri,Pakaian yang tidak bisa dipakai lagi dapat dipotong menjadi kain lap untuk keperluan pembersihan di bengkel atau pabrik.
Kain Pakaian,Kompos Tekstil Alami,"Kain berbahan alami (seperti katun, linen, wol) bisa dikomposkan jika tidak mengandung bahan kimia sintetis."
Kain Pakaian,Bank Pakaian,Beberapa komunitas menyediakan bank pakaian untuk redistribusi atau upcycle kolektif.
Kardus,Daur Ulang Menjadi Kertas Baru,"Kardus bekas dapat dikumpulkan dan dikirim ke fasilitas daur ulang di mana mereka akan dihancurkan, dicampur dengan air untuk membentuk bubur kertas, disaring dari tinta atau perekat, dan kemudian dicetak kembali menjadi lembaran kertas baru atau produk kardus daur ulang. Ini adalah metode ramah lingkungan yang mengurangi kebutuhan akan kayu baru dan membantu menyelamatkan pohon."
Kardus,Gunakan Ulang untuk Pengemasan,"Kardus yang masih dalam kondisi baik dapat digunakan kembali untuk keperluan pengemasan barang, baik dalam skala rumah tangga maupun bisnis. Ini mengurangi limbah sekaligus menghemat biaya."
Kardus,Bahan Kerajinan Anak,"Kardus bisa dijadikan bahan kreatif untuk proyek kerajinan anak-anak di sekolah atau rumah, seperti membuat rumah-rumahan, kendaraan mainan, atau dekorasi tematik, yang juga mendorong pendidikan lingkungan."
Kardus,Komposting Terbatas,Kardus cokelat polos tanpa tinta atau pelapis plastik dapat dipotong kecil-kecil dan ditambahkan ke kompos sebagai bahan karbon (coklat) yang membantu menyeimbangkan kompos organik yang kaya nitrogen.
Kayu,Daur Ulang menjadi Furnitur,"Kayu bekas dari palet, peti kemas, atau bangunan tua bisa dikumpulkan, dibersihkan, dan dimodifikasi menjadi furnitur baru seperti meja, rak, atau kursi. Ini tidak hanya menghemat sumber daya alam tetapi juga mendorong penggunaan kayu berkelanjutan."
Kayu,Penggunaan sebagai Bahan Bakar,"Kayu kering yang tidak terkontaminasi dapat digunakan sebagai bahan bakar alternatif di perapian, tungku biomassa, atau industri yang menggunakan sistem pembakaran. Ini merupakan sumber energi terbarukan bila digunakan secara berkelanjutan."
Kayu,Pembuatan Mulsa Kayu,Kayu dapat dihancurkan menjadi serpihan untuk digunakan sebagai mulsa dalam pertanian atau taman. Mulsa kayu membantu mempertahankan kelembaban tanah dan menghambat pertumbuhan gulma.
Kayu,Kerajinan Tangan dan Dekorasi,"Potongan kayu kecil dapat digunakan untuk membuat pernak-pernik dekorasi rumah, ukiran seni, atau alat bantu edukatif di sekolah. Ini memberi nilai tambah dari sisa bahan bangunan atau mebel lama."
Kertas,Daur Ulang Menjadi Kertas Baru,"Kertas bekas dapat dihancurkan dan dijadikan bubur kertas untuk dicetak ulang menjadi kertas baru, mengurangi ketergantungan pada kayu sebagai bahan mentah dan menurunkan emisi dari industri pulp dan kertas."
Kertas,Digunakan Ulang sebagai Kertas Buram,"Kertas yang hanya tercetak satu sisi masih dapat digunakan sebagai kertas buram atau draf untuk mencatat, menggambar, atau tugas rumah tangga lainnya."
Kertas,Kompos Organik,Kertas tanpa tinta berbahaya dapat dimasukkan ke kompos sebagai sumber karbon. Ini membantu proses pengomposan lebih seimbang dan efisien.
Kertas,Pembuatan Bahan Bakar Briket,"Kertas bekas dapat diolah menjadi briket sebagai bahan bakar alternatif untuk memasak, terutama di daerah yang sulit mendapatkan energi komersial."
Logam,Daur Ulang di Industri Peleburan,"Logam seperti aluminium dan baja sangat berharga dan mudah didaur ulang. Logam bekas dikumpulkan, dilebur, dan dicetak kembali menjadi produk baru seperti kaleng, suku cadang otomotif, atau bahan bangunan."
Logam,Penggunaan Kembali untuk Kerajinan,"Beberapa logam seperti kaleng dapat dibersihkan dan dimodifikasi menjadi tempat alat tulis, pot bunga, atau kerajinan dekoratif, mengurangi limbah dan memberi nilai estetika."
Logam,Pemanfaatan dalam Proyek STEM,"Potongan logam dapat digunakan sebagai bahan eksperimen dalam pendidikan sains dan teknologi, seperti magnetisme, penghantar listrik, atau robotik sederhana."
Logam,Pembuatan Alat Tukang Sederhana,Logam yang cukup kuat bisa dipotong dan diasah untuk dijadikan alat bantu pertukangan atau pertanian skala kecil.
Plastik,Ecobrick,Memadatkan sampah plastik bersih dan kering ke dalam botol plastik hingga keras. Ecobrick dapat digunakan sebagai material bangunan alternatif untuk struktur non-struktural.
Plastik,Pemulihan Energi,Plastik memiliki nilai kalori tinggi dan bisa dibakar dalam insinerator khusus untuk menghasilkan energi (listrik atau panas). Proses ini perlu dilakukan dengan teknologi yang tepat untuk mengendalikan emisi.
Plastik,Pengurangan,"Cara terbaik adalah mengurangi penggunaan plastik sejak awal. Pilih produk dengan kemasan minimal atau tanpa plastik, bawa tas belanja sendiri, dan hindari plastik sekali pakai."
Plastik,Daur Ulang Industri,"Plastik diklasifikasikan berdasarkan resin-nya (kode 1-7), lalu diproses sesuai jenis: PET, HDPE, dll. Setelah dibersihkan, plastik dilelehkan untuk dijadikan produk baru seperti ember, kursi, atau serat tekstil."
Sampah Elektronik,Pemulihan Komponen Elektronik,"Perangkat elektronik seperti ponsel, komputer, dan TV mengandung logam langka (seperti emas, tembaga, dan lithium) yang bisa dipisahkan dan digunakan kembali di industri teknologi baru."
Sampah Elektronik,Donasi atau Refurbish,Perangkat yang masih bisa diperbaiki dapat disumbangkan ke sekolah atau komunitas untuk dimanfaatkan kembali setelah diperbarui (refurbished).
Sampah Elektronik,Pengumpulan di E-Waste Center,Banyak kota menyediakan pusat pengumpulan limbah elektronik tempat masyarakat bisa membuang perangkat elektronik dengan aman untuk pengolahan yang bertanggung jawab.
Sampah Elektronik,Penghancuran Data Aman,"Sebelum mendaur ulang perangkat elektronik, penting untuk memastikan semua data dihapus dengan aman melalui proses digital wiping atau penghancuran fisik hard drive."
Sampah makanan,Komposting Rumah Tangga,"Sisa makanan seperti sayur, buah, nasi, dan kulit telur bisa dikomposkan di rumah untuk menghasilkan pupuk alami yang subur dan membantu mengurangi volume sampah organik ke TPA."
Sampah makanan,Biodigester untuk Biogas,"Sampah organik dapat dimasukkan ke dalam biodigester anaerobik yang mengubahnya menjadi gas metana, sumber energi yang dapat digunakan untuk memasak atau penerangan rumah."
Sampah makanan,Bank Makanan,Makanan layak konsumsi yang berlebih dari restoran atau toko bisa disumbangkan ke bank makanan untuk didistribusikan ke masyarakat yang membutuhkan.
Sampah makanan,Pakan Ternak,"Sisa makanan yang belum tercemar atau rusak bisa digunakan sebagai pakan ternak untuk ayam, kambing, atau babi, mengurangi limbah sekaligus menekan biaya peternakan."
Sterofoam,Penggunaan Ulang sebagai Isolasi,Styrofoam bekas bisa digunakan kembali sebagai bahan isolasi suara atau panas pada bangunan kecil atau perabot rumah tangga sederhana.
Sterofoam,Daur Ulang Khusus dengan Pelarut,"Karena sulit didaur ulang biasa, styrofoam dapat dilarutkan dalam pelarut kimia khusus untuk mengembalikannya ke bentuk polistirena yang bisa dicetak ulang."
Sterofoam,Pembuatan Model Edukasi,"Potongan styrofoam sering digunakan untuk membuat model pelajaran seperti bentuk molekul, tata surya, atau bangunan sejarah di sekolah-sekolah."
Sterofoam,Pengiriman Ulang sebagai Pelindung,Styrofoam bisa digunakan kembali untuk membungkus barang elektronik atau pecah belah dalam pengiriman sebagai bantalan pelindung.
